ITEMS,FECHAEMP,LOTE,CODIGO,CAJA,ESPECIE,PRODUCTO,CALIDAD,FECHA ELAB,FECHAVENCI,CAJA2,TALLA,UDS,LIBRAS,PROMEDIO,QUEES,EMPAQUE,CUARTO,POSICION,TARIMA,
493,23/12/2025,300/24,031502010101,2225,SIERRA,"ENTERO CON VISCERAS, CON AGALLAS",IND,4/12/2024,4/12/2025,2225,SIN TALLA,25,"41,0","1,6",INVFISICO,CAJA LBS LIBRE,3,,17,
494,23/12/2025,300/24,031502010101,2228,SIERRA,"ENTERO CON VISCERAS, CON AGALLAS",IND,4/12/2024,4/12/2025,2228,SIN TALLA,29,"44,0","1,5",INVFISICO,CAJA LBS LIBRE,3,,17,
495,23/12/2025,300/24,031502010101,2222,SIERRA,"ENTERO CON VISCERAS, CON AGALLAS",IND,4/12/2024,4/12/2025,2222,SIN TALLA,25,"37,4","1,5",INVFISICO,CAJA LBS LIBRE,3,,17,
496,23/12/2025,300/24,031502010101,2227,SIERRA,"ENTERO CON VISCERAS, CON AGALLAS",IND,4/12/2024,4/12/2025,2227,SIN TALLA,27,"44,2","1,6",INVFISICO,CAJA LBS LIBRE,3,,17,
497,23/12/2025,300/24,031502010101,2224,SIERRA,"ENTERO CON VISCERAS, CON AGALLAS",IND,4/12/2024,4/12/2025,2224,SIN TALLA,25,"38,2","1,5",INVFISICO,CAJA LBS LIBRE,3,,17,
498,23/12/2025,300/24,031502010101,2226,SIERRA,"ENTERO CON VISCERAS, CON AGALLAS",IND,4/12/2024,4/12/2025,2226,SIN TALLA,27,"42,6","1,6",INVFISICO,CAJA LBS LIBRE,3,,17,
499,23/12/2025,42/25,082102010101,3217,MAHI MAHI,CABEZAS SIN AGALLAS,IND,27/9/2025,27/9/2026,3217,SIN TALLA,7,"23,0","3,3",INVFISICO,CAJA LBS LIBRE,3,,17,
500,23/12/2025,42/25,082102010101,3216,MAHI MAHI,CABEZAS SIN AGALLAS,IND,27/9/2025,27/9/2026,3216,SIN TALLA,13,"30,0","2,3",INVFISICO,CAJA LBS LIBRE,3,,17,
501,23/12/2025,42/25,082102010101,3219,MAHI MAHI,CABEZAS SIN AGALLAS,IND,27/9/2025,27/9/2026,3219,SIN TALLA,13,"29,4","2,3",INVFISICO,CAJA LBS LIBRE,3,,17,
502,23/12/2025,300/24,081302070101,2220,MAHI MAHI,"FILETE SIN PIEL, NATURAL",C,4/12/2024,4/12/2025,2220,SIN TALLA,9,"44,9","5,0",INVFISICO,CAJA LBS LIBRE,3,,17,
503,23/12/2025,63/25,010803060101,4068,ATUN,"VENTRESCA CON PIEL, NATURAL",IND,13/12/2025,13/12/2026,4068,SIN TALLA,7,"37,8","5,4",INVFISICO,CAJA LBS LIBRE,3,,18,
504,23/12/2025,300/24,010802060101,2216,ATUN,"VENTRESCA CON PIEL, NATURAL",B,4/12/2024,4/12/2025,2216,SIN TALLA,21,"37,6","1,8",INVFISICO,CAJA LBS LIBRE,3,,18,
